City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Paraiso,CR,2022-02-12 15:12:39,9.8383,-83.8656,73.89,60,89,5.61,overcast clouds
78,Batemans Bay,AU,2022-02-12 15:12:39,-35.7167,150.1833,65.19,88,100,2.75,overcast clouds
79,San Cristobal,VE,2022-02-12 15:10:48,7.7669,-72.225,73.58,41,93,8.99,overcast clouds
80,Bairiki,KI,2022-02-12 15:12:39,1.3292,172.9752,80.6,78,20,8.05,few clouds
81,Chokurdakh,RU,2022-02-12 15:12:39,70.6333,147.9167,-2.18,96,100,13.6,overcast clouds
82,Beipiao,CN,2022-02-12 15:12:40,41.7919,120.7792,11.95,76,67,5.57,broken clouds
83,Touros,BR,2022-02-12 15:12:40,-5.1989,-35.4608,86.9,62,36,10.38,scattered clouds
84,Bardiyah,LY,2022-02-12 15:12:40,31.7561,25.0865,58.53,55,0,6.89,clear sky
85,Faanui,PF,2022-02-12 15:12:41,-16.4833,-151.75,79.74,76,71,13.49,light rain
86,Sobolevo,RU,2022-02-12 15:12:41,54.4299,31.8996,22.73,90,7,10.04,clear sky
87,San Pedro Del Pinatar,ES,2022-02-12 15:12:41,37.8357,-0.791,64.83,62,20,5.99,few clouds
88,Katherine,AU,2022-02-12 15:12:41,-14.4667,132.2667,80.92,74,12,3.44,few clouds
89,Nikolskoye,RU,2022-02-12 15:12:42,59.7035,30.7861,34.88,87,100,11.9,overcast clouds
90,Jamestown,US,2022-02-12 15:12:42,42.097,-79.2353,29.52,51,100,12.66,overcast clouds
91,Oloron-Sainte-Marie,FR,2022-02-12 15:13:42,43.1944,-0.6107,62.53,64,100,1.61,overcast clouds
92,Kamenka,RU,2022-02-12 15:13:43,51.3223,42.7678,31.75,97,100,4.54,overcast clouds
93,Freeport,US,2022-02-12 15:12:08,40.6576,-73.5832,57.16,55,0,8.05,clear sky
94,Sept-Iles,CA,2022-02-12 15:13:43,50.2001,-66.3821,30.06,94,100,1.59,overcast clouds
95,Salalah,OM,2022-02-12 15:10:15,17.0151,54.0924,77.09,57,20,6.91,few clouds
96,Aksarka,RU,2022-02-12 15:13:43,66.5606,67.7975,-7.17,90,100,9.44,overcast clouds
97,Brokopondo,SR,2022-02-12 15:13:44,4.75,-55.1667,79.77,77,98,7.14,overcast clouds
98,Sumbe,AO,2022-02-12 15:13:44,-11.2061,13.8437,82.45,60,97,9.73,overcast clouds
99,Bathsheba,BB,2022-02-12 15:13:44,13.2167,-59.5167,83.01,61,75,23.02,broken clouds
100,Zyryanovsk,KZ,2022-02-12 15:13:45,49.7386,84.2719,0.5,93,100,0.92,overcast clouds
101,Graham,US,2022-02-12 15:13:45,47.0529,-122.2943,41.05,95,100,1.01,light intensity drizzle
102,Victoria,HK,2022-02-12 15:09:54,22.2855,114.1577,68.18,84,76,5.01,broken clouds
103,Bambous Virieux,MU,2022-02-12 15:13:45,-20.3428,57.7575,80.22,76,48,7.0,scattered clouds
104,Korop,UA,2022-02-12 15:13:46,51.5664,32.9586,27.79,86,58,10.87,broken clouds
105,Pangnirtung,CA,2022-02-12 15:13:46,66.1451,-65.7125,-0.36,99,100,4.79,light snow
106,Jiangyou,CN,2022-02-12 15:13:46,31.7667,104.7167,42.55,82,95,3.91,overcast clouds
107,Thompson,CA,2022-02-12 15:12:40,55.7435,-97.8558,-12.3,95,100,6.04,overcast clouds
108,Longyearbyen,SJ,2022-02-12 15:13:47,78.2186,15.6401,13.84,73,0,11.5,clear sky
109,Cap-Chat,CA,2022-02-12 15:13:47,49.1001,-66.6821,35.53,98,100,6.55,overcast clouds
110,Ibra,OM,2022-02-12 15:13:47,22.6906,58.5334,74.73,24,0,9.69,clear sky
111,Elban,RU,2022-02-12 15:13:48,50.1018,136.5094,11.43,90,100,5.03,overcast clouds
112,Veinticinco De Mayo,AR,2022-02-12 15:13:48,-35.4323,-60.1727,66.06,53,0,8.01,clear sky
113,Carnarvon,AU,2022-02-12 15:13:48,-24.8667,113.6333,82.47,69,8,12.66,clear sky
114,Khudumelapye,BW,2022-02-12 15:13:48,-23.8833,24.75,90.27,14,0,8.63,clear sky
115,Kushiro,JP,2022-02-12 15:13:49,42.975,144.3747,17.42,89,46,2.33,scattered clouds
116,Airai,TL,2022-02-12 15:13:49,-8.9266,125.4092,60.13,94,86,2.01,overcast clouds
117,Vostok,RU,2022-02-12 15:13:49,46.4856,135.8833,5.74,98,100,2.33,light snow
118,Stornoway,GB,2022-02-12 15:13:50,58.2093,-6.3865,46.36,88,75,18.41,light intensity shower rain
119,Kruisfontein,ZA,2022-02-12 15:13:50,-34.0033,24.7314,80.17,65,39,16.53,scattered clouds
120,Cidreira,BR,2022-02-12 15:13:50,-30.1811,-50.2056,78.98,69,0,15.32,clear sky
121,Butaritari,KI,2022-02-12 15:13:50,3.0707,172.7902,81.72,79,43,16.35,light rain
122,Jaru,BR,2022-02-12 15:13:51,-10.4389,-62.4664,75.52,95,100,1.77,overcast clouds
123,Gondanglegi,ID,2022-02-12 15:13:51,-7.7479,112.0132,74.43,96,100,5.88,heavy intensity rain
124,New Norfolk,AU,2022-02-12 15:13:51,-42.7826,147.0587,56.7,55,90,2.62,overcast clouds
125,Shibukawa,JP,2022-02-12 15:13:52,36.4833,139.0,33.06,69,9,3.0,clear sky
126,Mancio Lima,BR,2022-02-12 15:13:52,-7.6142,-72.8958,75.81,93,100,2.84,overcast clouds
127,Emerald,AU,2022-02-12 15:13:52,-23.5333,148.1667,74.34,62,19,15.1,few clouds
128,Niquero,CU,2022-02-12 15:13:53,20.0431,-77.5828,80.92,67,9,3.58,clear sky
129,Nanortalik,GL,2022-02-12 15:11:29,60.1432,-45.2371,31.06,90,100,11.23,light snow
130,Grand Gaube,MU,2022-02-12 15:13:53,-20.0064,57.6608,80.38,71,75,1.99,broken clouds
131,Prince Rupert,CA,2022-02-12 15:13:53,54.3161,-130.3201,37.94,79,100,3.09,overcast clouds
132,Cordoba,AR,2022-02-12 15:09:16,-31.4135,-64.1811,73.42,42,0,11.5,clear sky
