City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Fort Nelson,CA,2022-02-05 00:15:20,58.8053,-122.7002,-9.81,77,100,2.3
105,Hanting,CN,2022-02-05 00:19:59,36.7708,119.2108,22.26,35,1,9.8
106,Karratha,AU,2022-02-05 00:19:59,-20.7377,116.8463,87.8,61,91,11.07
107,Tuktoyaktuk,CA,2022-02-05 00:20:00,69.4541,-133.0374,-23.8,76,0,12.66
108,Namatanai,PG,2022-02-05 00:20:00,-3.6667,152.4333,84.42,69,100,9.8
109,Pierre,US,2022-02-05 00:17:59,44.3683,-100.351,16.72,38,100,3.0
110,Kruisfontein,ZA,2022-02-05 00:20:01,-34.0033,24.7314,63.88,72,98,4.97
111,Mawlaik,MM,2022-02-05 00:20:01,23.6333,94.4167,55.31,80,72,1.21
112,Kloulklubed,PW,2022-02-05 00:20:02,7.0419,134.2556,82.9,80,25,15.55
113,Upernavik,GL,2022-02-05 00:20:02,72.7868,-56.1549,-0.45,99,95,5.28
114,Kapaa,US,2022-02-05 00:20:03,22.0752,-159.319,80.47,72,40,1.99
115,Calvinia,ZA,2022-02-05 00:20:03,-31.4707,19.776,69.98,47,3,9.48
116,Vaini,TO,2022-02-05 00:20:03,-21.2,-175.2,77.16,100,100,11.5
117,Moerai,PF,2022-02-05 00:20:04,-22.4333,-151.3333,78.3,78,40,16.06
118,Imeni Poliny Osipenko,RU,2022-02-05 00:20:04,52.4201,136.4853,1.63,89,100,5.79
119,Chuy,UY,2022-02-05 00:20:05,-33.6971,-53.4616,70.05,93,5,7.0
120,Grand Gaube,MU,2022-02-05 00:20:05,-20.0064,57.6608,79.38,83,91,7.0
121,Salalah,OM,2022-02-05 00:20:05,17.0151,54.0924,68.56,77,3,2.1
122,Lazurne,UA,2022-02-05 00:20:06,46.084,32.5295,24.03,60,5,3.67
123,Serebryansk,KZ,2022-02-05 00:20:06,49.6925,83.2892,-18.29,93,27,5.17
124,Komsomolskiy,UZ,2022-02-05 00:20:07,40.4272,71.7189,33.22,68,33,9.22
125,Faanui,PF,2022-02-05 00:20:07,-16.4833,-151.75,80.71,75,41,14.2
126,Clonakilty,IE,2022-02-05 00:20:08,51.6231,-8.8706,39.09,76,9,9.62
127,Shingu,JP,2022-02-05 00:20:08,33.7333,135.9833,40.19,57,27,16.13
128,Touros,BR,2022-02-05 00:20:08,-5.1989,-35.4608,81.5,72,11,12.93
129,Butaritari,KI,2022-02-05 00:15:16,3.0707,172.7902,82.58,76,13,19.95
130,Batemans Bay,AU,2022-02-05 00:20:09,-35.7167,150.1833,69.19,76,93,10.63
131,Ribeira Grande,PT,2022-02-05 00:20:09,38.5167,-28.7,59.36,80,78,14.52
132,Sorong,ID,2022-02-05 00:20:10,-0.8833,131.25,83.01,77,100,13.51
133,Pangnirtung,CA,2022-02-05 00:20:10,66.1451,-65.7125,-24.0,99,100,1.14
134,Nola,IT,2022-02-05 00:20:10,40.922,14.5329,55.54,78,97,2.57
135,Slantsy,RU,2022-02-05 00:21:11,59.1182,28.0914,19.38,87,90,13.51
136,Yumen,CN,2022-02-05 00:21:11,40.2833,97.2,14.65,39,100,12.88
137,Nanortalik,GL,2022-02-05 00:21:11,60.1432,-45.2371,11.55,70,100,38.39
138,Talnakh,RU,2022-02-05 00:21:12,69.4865,88.3972,1.2,97,98,6.13
139,Phuthaditjhaba,ZA,2022-02-05 00:21:12,-28.5242,28.8158,56.62,98,100,5.68
140,Lima,PE,2022-02-05 00:19:49,-12.0432,-77.0282,71.38,79,0,17.27
141,Mankono,CI,2022-02-05 00:21:13,8.0586,-6.1897,74.41,23,40,1.83
142,Sinnamary,GF,2022-02-05 00:21:13,5.3833,-52.95,76.39,88,97,8.59
143,Leningradskiy,RU,2022-02-05 00:21:13,69.3833,178.4167,-14.35,91,65,9.17
