City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Port Augusta,AU,74.95,few clouds,-32.5,137.7667,Majestic Oasis Apartments
213,Banda Aceh,ID,78.33,broken clouds,5.5577,95.3222,Sulthan Hotel International
215,Coihaique,CL,68.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
216,Okato,NZ,75.9,overcast clouds,-39.2,173.8833,Goodin Country Garden
218,Abhayapuri,IN,64.49,clear sky,26.3333,90.6667,Airtel Office
219,Muli,MV,81.95,broken clouds,2.9167,73.5667,Medhufushi Island Resort
221,Mporokoso,ZM,67.44,light rain,-9.3727,30.125,Government Guest House
223,Puerto Del Rosario,ES,69.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
224,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
228,Ban Dung,TH,78.87,overcast clouds,17.699,103.2596,Heuan Na Khee
229,Ancud,CL,75.22,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
230,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
232,Mangrol,IN,71.49,clear sky,21.1167,70.1167,Hotel The Royal Honours
235,Bengkulu,ID,77.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
236,Faya,SA,62.71,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
238,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
241,Esna,EG,73.0,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
243,Rio Gallegos,AR,66.25,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
245,Popondetta,PG,74.28,overcast clouds,-8.7537,148.2534,Timos Transit House
249,Kavieng,PG,80.78,light rain,-2.5744,150.7967,Nusa Island Retreat
250,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
252,Mandali,IQ,61.9,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
254,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
257,Dhidhdhoo,MV,81.75,overcast clouds,6.8833,73.1,Dhidhoo beach
261,Castro,BR,76.06,clear sky,-24.7911,-50.0119,CHACARA BAILLY
263,Uberlandia,BR,70.81,mist,-18.9186,-48.2772,Hotel Apollo
265,Daru,PG,79.27,scattered clouds,-9.0763,143.2092,Daru Lodge
266,Guerrero Negro,MX,60.75,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
268,Mtwara,TZ,77.76,overcast clouds,-10.2667,40.1833,TIL Hotels Mtwara
270,Omboue,GA,83.97,broken clouds,-1.5746,9.2618,Hotel Olako
271,Kailua,US,72.14,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
273,Anuradhapura,LK,73.94,light rain,8.3565,80.4173,Nilketha Villa Eco Hotel
274,Beroroha,MG,89.74,broken clouds,-21.6667,45.1667,
276,Tamandare,BR,86.67,few clouds,-8.7597,-35.1047,Pousada 100 Passos
277,Acapulco,MX,78.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
278,Adoni,IN,78.24,broken clouds,15.6333,77.2833,Bheemas Regency
279,Cayenne,GF,77.04,mist,4.9333,-52.3333,Hôtel Le Dronmi
283,Cockburn Town,TC,77.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
284,Port Blair,IN,80.64,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
285,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
288,Lebu,CL,68.77,clear sky,-37.6167,-73.65,Hostal Las Lilas
289,Merauke,ID,79.23,few clouds,-8.4667,140.3333,
290,Mutis,CO,77.4,light rain,6.2262,-77.4044,Paraiso Escondido
291,Hirara,JP,69.96,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
292,Kalianget,ID,76.53,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
294,Half Moon Bay,US,62.24,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
295,Kathu,TH,87.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
297,Itarema,BR,84.34,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
300,Bhadrachalam,IN,75.24,broken clouds,17.6667,80.8833,Hotel Srinidhi Residency
301,Fare,PF,80.85,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
303,Camacha,PT,63.36,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
304,Lazaro Cardenas,MX,75.99,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
306,Pyinmana,MM,66.47,scattered clouds,19.7333,96.2167,Anh Mai Daung
311,Rabo De Peixe,PT,60.31,broken clouds,37.8,-25.5833,Quinta das Giestas
315,Maragogi,BR,87.08,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
316,Manicore,BR,88.65,overcast clouds,-5.8092,-61.3003,Hotel Durval
319,Portalegre,PT,62.37,overcast clouds,39.2938,-7.4312,Rossio Hotel
323,Matara,LK,77.22,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
324,Laguna,US,60.62,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
325,Codrington,AU,64.56,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
326,Araguaina,BR,80.49,moderate rain,-7.1911,-48.2072,Hotel São Vicente
327,Redlands,US,70.02,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
329,Skeldon,GY,78.98,broken clouds,5.8833,-57.1333,Classic International Hotel & Suites
331,Lompoc,US,64.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
334,Tucuman,AR,62.6,mist,-26.8241,-65.2226,Dallas Hotel Tucuman
336,Kampene,CD,80.94,overcast clouds,-3.6,26.6667,
338,Bandarbeyla,SO,77.41,scattered clouds,9.4942,50.8122,JABIR HOTEL
340,Kieta,PG,78.21,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
347,Bahia Blanca,AR,71.94,clear sky,-38.7196,-62.2724,Hotel Argos
348,Upata,VE,77.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
350,Richards Bay,ZA,83.28,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
351,Umm Kaddadah,SD,80.55,clear sky,13.6017,26.6876,
354,Trairi,BR,83.62,overcast clouds,-3.2778,-39.2689,janelas do mar
355,Barahona,DO,85.82,few clouds,18.2085,-71.1008,Hotel Caribe
358,Manaure,CO,85.08,scattered clouds,11.7751,-72.4445,Hotel Palaaima
359,Muros,ES,60.24,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
361,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
362,Aswan,EG,75.63,clear sky,24.0934,32.907,Nuba Nile
363,Tucurui,BR,75.22,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
366,Carutapera,BR,79.93,overcast clouds,-1.195,-46.02,Lidera
368,Suwannaphum,TH,86.04,scattered clouds,15.6035,103.8021,วรรณมณี รีสอร์ท
375,Karratha,AU,87.22,few clouds,-20.7377,116.8463,ibis Styles Karratha
381,Ituiutaba,BR,78.26,broken clouds,-18.9689,-49.465,Bernal Hotel
